year,month,quarter,state,state_pcode,lga,lga_pcode,primary_hazard,total_idps,mean_idps_per_record,num_records,total_males,total_females,latest_dtm_round,date
2017,1,1,Adamawa,NGA002,Toungo,NGA002019,Conflict,810,405.0,2,210.0,195.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Yola North,NGA002020,Conflict,22178,11089.0,2,4685.0,6404.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Yola South,NGA002021,Conflict,33560,16780.0,2,8401.0,8379.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Alkaleri,NGA005001,Conflict,408,204.0,2,105.0,99.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Bauchi,NGA005002,Conflict,22484,11242.0,2,5160.0,6082.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Bogoro,NGA005003,Conflict,5172,2586.0,2,1137.0,1449.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Damban,NGA005004,Conflict,6288,3144.0,2,1596.0,1548.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Darazo,NGA005005,Conflict,3418,1709.0,2,854.0,855.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Dass,NGA005006,Conflict,1370,685.0,2,326.0,359.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Gamawa,NGA005007,Conflict,3218,1609.0,2,685.0,924.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Ganjuwa,NGA005008,Conflict,2598,1299.0,2,655.0,644.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Giade,NGA005009,Conflict,1992,996.0,2,513.0,483.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Itas/Gadau,NGA005010,Conflict,2912,1456.0,2,718.0,738.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Jama'are,NGA005011,Conflict,1550,775.0,2,355.0,420.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Katagum,NGA005012,Conflict,6534,3267.0,2,1393.0,1874.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Kirfi,NGA005013,Conflict,942,471.0,2,217.0,254.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Misau,NGA005014,Conflict,4328,2164.0,2,1161.0,1003.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Ningi,NGA005015,Conflict,8026,4013.0,2,1910.0,2103.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Shira,NGA005016,Conflict,2260,1130.0,2,552.0,578.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Tafawa-Balewa,NGA005017,Conflict,15942,7971.0,2,3084.0,4887.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Toro,NGA005018,Conflict,18770,9385.0,2,3541.0,5844.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Warji,NGA005019,Conflict,1032,516.0,2,270.0,246.0,14,2017-01-01
2017,1,1,Bauchi,NGA005,Zaki,NGA005020,Conflict,4414,2207.0,2,984.0,1223.0,14,2017-01-01
2017,1,1,Borno,NGA008,Askira/Uba,NGA008002,Conflict,13620,6810.0,2,3121.0,3689.0,14,2017-01-01
2017,1,1,Borno,NGA008,Bama,NGA008003,Conflict,63984,31992.0,2,13551.0,18441.0,14,2017-01-01
2017,1,1,Borno,NGA008,Bayo,NGA008004,Conflict,2364,1182.0,2,556.0,626.0,14,2017-01-01
2017,1,1,Borno,NGA008,Biu,NGA008005,Conflict,83924,41962.0,2,19046.0,22916.0,14,2017-01-01
2017,1,1,Borno,NGA008,Chibok,NGA008006,Conflict,15990,7995.0,2,3992.0,4003.0,14,2017-01-01
2017,1,1,Borno,NGA008,Damboa,NGA008007,Conflict,111774,55887.0,2,31110.0,24777.0,14,2017-01-01
2017,1,1,Borno,NGA008,Dikwa,NGA008008,Conflict,233394,116697.0,2,53012.0,63685.0,14,2017-01-01
2017,1,1,Borno,NGA008,Gubio,NGA008009,Conflict,11380,5690.0,2,2785.0,2905.0,14,2017-01-01
2017,1,1,Borno,NGA008,Gwoza,NGA008011,Conflict,100898,50449.0,2,22046.0,28403.0,14,2017-01-01
2017,1,1,Borno,NGA008,Hawul,NGA008012,Conflict,58222,29111.0,2,13393.0,15718.0,14,2017-01-01
2017,1,1,Borno,NGA008,Jere,NGA008013,Conflict,671530,335765.0,2,148491.0,187274.0,14,2017-01-01
2017,1,1,Borno,NGA008,Kaga,NGA008014,Conflict,38616,19308.0,2,7529.0,11779.0,14,2017-01-01
2017,1,1,Borno,NGA008,Kala/Balge,NGA008015,Conflict,70590,35295.0,2,15693.0,19602.0,14,2017-01-01
2017,1,1,Borno,NGA008,Konduga,NGA008016,Conflict,181028,90514.0,2,34536.0,55978.0,14,2017-01-01
2017,1,1,Borno,NGA008,Kukawa,NGA008017,Conflict,28126,14063.0,2,6257.0,7806.0,14,2017-01-01
2017,1,1,Borno,NGA008,Kwaya Kusar,NGA008018,Conflict,4500,2250.0,2,1025.0,1225.0,14,2017-01-01
2017,1,1,Borno,NGA008,Mafa,NGA008019,Conflict,14980,7490.0,2,3108.0,4382.0,14,2017-01-01
2017,1,1,Borno,NGA008,Magumeri,NGA008020,Conflict,5100,2550.0,2,1016.0,1534.0,14,2017-01-01
2017,1,1,Borno,NGA008,Maiduguri,NGA008021,Conflict,890628,445314.0,2,192285.0,253029.0,14,2017-01-01
2017,1,1,Borno,NGA008,Monguno,NGA008024,Conflict,270926,135463.0,2,59064.0,76399.0,14,2017-01-01
2017,1,1,Borno,NGA008,Ngala,NGA008025,Conflict,127246,63623.0,2,27564.0,36059.0,14,2017-01-01
2017,1,1,Borno,NGA008,Nganzai,NGA008026,Conflict,11812,5906.0,2,2564.0,3342.0,14,2017-01-01
2017,1,1,Borno,NGA008,Shani,NGA008027,Conflict,1708,854.0,2,436.0,418.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Akko,NGA016001,Conflict,14134,7067.0,2,3593.0,3474.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Balanga,NGA016002,Conflict,3700,1850.0,2,864.0,986.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Billiri,NGA016003,Conflict,842,421.0,2,178.0,243.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Dukku,NGA016004,Conflict,868,434.0,2,210.0,224.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Funakaye,NGA016005,Conflict,9614,4807.0,2,2434.0,2373.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Gombe,NGA016006,Conflict,12342,6171.0,2,3106.0,3065.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Kaltungo,NGA016007,Conflict,1998,999.0,2,508.0,491.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Kwami,NGA016008,Conflict,2610,1305.0,2,628.0,677.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Nafada,NGA016009,Conflict,3538,1769.0,2,898.0,871.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Shomgom,NGA016010,Conflict,662,331.0,2,164.0,167.0,14,2017-01-01
2017,1,1,Gombe,NGA016,Yamaltu/Deba,NGA016011,Conflict,6858,3429.0,2,1619.0,1810.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Ardo-Kola,NGA035001,Conflict,8220,4110.0,2,1837.0,2273.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Bali,NGA035002,Conflict,4370,2185.0,2,1070.0,1115.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Donga,NGA035003,Conflict,4774,2387.0,2,1034.0,1353.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Gashaka,NGA035004,Conflict,1298,649.0,2,320.0,329.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Gassol,NGA035005,Conflict,12204,6102.0,2,2753.0,3349.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Ibi,NGA035006,Conflict,8254,4127.0,2,1895.0,2232.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Jalingo,NGA035007,Conflict,18064,9032.0,2,3453.0,5579.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Karim-Lamido,NGA035008,Conflict,498,249.0,2,122.0,127.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Kurmi,NGA035009,Conflict,1976,988.0,2,396.0,592.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Lau,NGA035010,Conflict,1190,595.0,2,287.0,308.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Sardauna,NGA035011,Conflict,1096,548.0,2,259.0,289.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Takum,NGA035012,Conflict,420,210.0,2,91.0,119.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Ussa,NGA035013,Conflict,368,184.0,2,93.0,91.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Wukari,NGA035014,Conflict,31368,15684.0,2,7395.0,8289.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Yorro,NGA035015,Conflict,544,272.0,2,114.0,158.0,14,2017-01-01
2017,1,1,Taraba,NGA035,Zing,NGA035016,Conflict,768,384.0,2,210.0,174.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Bade,NGA036001,Conflict,34350,17175.0,2,7655.0,9520.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Bursari,NGA036002,Conflict,2134,1067.0,2,410.0,657.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Damaturu,NGA036003,Conflict,38882,19441.0,2,8852.0,10589.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Fika,NGA036004,Conflict,12036,6018.0,2,2437.0,3581.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Fune,NGA036005,Conflict,9760,4880.0,2,2333.0,2547.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Geidam,NGA036006,Conflict,13250,6625.0,2,2539.0,4086.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Gujba,NGA036007,Conflict,25480,12740.0,2,4946.0,7794.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Gulani,NGA036008,Conflict,6374,3187.0,2,1277.0,1910.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Jakusko,NGA036009,Conflict,2806,1403.0,2,578.0,825.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Karasuwa,NGA036010,Conflict,10650,5325.0,2,2366.0,2959.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Machina,NGA036011,Conflict,2598,1299.0,2,596.0,703.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Nangere,NGA036012,Conflict,4616,2308.0,2,1084.0,1224.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Nguru,NGA036013,Conflict,22414,11207.0,2,4525.0,6682.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Potiskum,NGA036014,Conflict,31894,15947.0,2,7300.0,8647.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Tarmua,NGA036015,Conflict,1082,541.0,2,271.0,270.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Yunusari,NGA036016,Conflict,5712,2856.0,2,1193.0,1663.0,14,2017-01-01
2017,1,1,Yobe,NGA036,Yusufari,NGA036017,Conflict,1990,995.0,2,463.0,532.0,14,2017-01-01
2017,3,1,Adamawa,NGA002,Demsa,NGA002001,Conflict,8352,4176.0,2,1914.0,2262.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Fufore,NGA002002,Conflict,11345,5672.5,2,2725.0,2706.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Ganye,NGA002003,Conflict,900,450.0,2,197.0,253.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Girei,NGA002005,Conflict,20535,10267.5,2,1083.0,1330.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Gombi,NGA002004,Conflict,20535,10267.5,2,8315.0,9807.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Guyuk,NGA002006,Conflict,506,253.0,2,112.0,141.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Hong,NGA002007,Conflict,8675,4337.5,2,1677.0,2097.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Jada,NGA002008,Conflict,1248,624.0,2,283.0,341.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Lamurde,NGA002009,Conflict,1223,611.5,2,211.0,335.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Madagali,NGA002010,Conflict,37470,18735.0,2,9326.0,9409.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Maiha,NGA002011,Conflict,30762,15381.0,2,7338.0,8043.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Mayo-Belwa,NGA002012,Conflict,822,411.0,2,217.0,194.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Michika,NGA002013,Conflict,53998,26999.0,2,12223.0,14776.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Mubi North,NGA002014,Conflict,23027,11513.5,2,4788.0,6492.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Mubi South,NGA002015,Conflict,10881,5440.5,2,2439.0,2802.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Numan,NGA002016,Conflict,3026,1513.0,2,722.0,791.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Shelleng,NGA002017,Conflict,1652,826.0,2,318.0,508.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Song,NGA002018,Conflict,4290,2145.0,2,1060.0,1085.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Toungo,NGA002019,Conflict,1088,544.0,2,260.0,284.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Yola North,NGA002020,Conflict,21113,10556.5,2,4541.0,6443.0,15,2017-03-01
2017,3,1,Adamawa,NGA002,Yola South,NGA002021,Conflict,33514,16757.0,2,8212.0,8545.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Alkaleri,NGA005001,Conflict,370,185.0,2,94.0,91.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Bauchi,NGA005002,Conflict,22377,11188.5,2,5189.0,5971.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Bogoro,NGA005003,Conflict,4542,2271.0,2,1058.0,1213.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Damban,NGA005004,Conflict,6312,3156.0,2,1598.0,1558.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Darazo,NGA005005,Conflict,3662,1831.0,2,886.0,945.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Dass,NGA005006,Conflict,1372,686.0,2,318.0,368.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Gamawa,NGA005007,Conflict,3198,1599.0,2,802.0,797.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Ganjuwa,NGA005008,Conflict,2080,1040.0,2,520.0,520.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Giade,NGA005009,Conflict,2014,1007.0,2,507.0,500.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Itas/Gadau,NGA005010,Conflict,2572,1286.0,2,629.0,657.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Jama'are,NGA005011,Conflict,1764,882.0,2,425.0,457.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Katagum,NGA005012,Conflict,6678,3339.0,2,1425.0,1914.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Kirfi,NGA005013,Conflict,1385,692.5,2,222.0,243.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Misau,NGA005014,Conflict,3870,1935.0,2,1000.0,975.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Ningi,NGA005015,Conflict,6306,3153.0,2,1437.0,1716.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Shira,NGA005016,Conflict,2260,1130.0,2,538.0,592.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Tafawa-Balewa,NGA005017,Conflict,15930,7965.0,2,3629.0,4336.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Toro,NGA005018,Conflict,21314,10657.0,2,4819.0,5838.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Warji,NGA005019,Conflict,1032,516.0,2,264.0,252.0,15,2017-03-01
2017,3,1,Bauchi,NGA005,Zaki,NGA005020,Conflict,4608,2304.0,2,1019.0,1285.0,15,2017-03-01
2017,3,1,Borno,NGA008,Askira/Uba,NGA008002,Conflict,21012,10506.0,2,5295.0,5715.0,15,2017-03-01
2017,3,1,Borno,NGA008,Bama,NGA008003,Conflict,77448,38724.0,2,17328.0,21396.0,15,2017-03-01
2017,3,1,Borno,NGA008,Bayo,NGA008004,Conflict,2280,1140.0,2,534.0,606.0,15,2017-03-01
2017,3,1,Borno,NGA008,Biu,NGA008005,Conflict,88340,44170.0,2,20066.0,24104.0,15,2017-03-01
2017,3,1,Borno,NGA008,Chibok,NGA008006,Conflict,24990,12495.0,2,6017.0,6478.0,15,2017-03-01
2017,3,1,Borno,NGA008,Damboa,NGA008007,Conflict,112486,56243.0,2,30850.0,25393.0,15,2017-03-01
2017,3,1,Borno,NGA008,Dikwa,NGA008008,Conflict,174504,87252.0,2,35164.0,41548.0,15,2017-03-01
2017,3,1,Borno,NGA008,Gubio,NGA008009,Conflict,12060,6030.0,2,3720.0,2310.0,15,2017-03-01
2017,3,1,Borno,NGA008,Gwoza,NGA008011,Conflict,112962,56481.0,2,24277.0,32204.0,15,2017-03-01
2017,3,1,Borno,NGA008,Hawul,NGA008012,Conflict,57346,28673.0,2,13196.0,15477.0,15,2017-03-01
2017,3,1,Borno,NGA008,Jere,NGA008013,Conflict,613136,306568.0,2,136073.0,170495.0,15,2017-03-01
2017,3,1,Borno,NGA008,Kaga,NGA008014,Conflict,38048,19024.0,2,7808.0,11216.0,15,2017-03-01
2017,3,1,Borno,NGA008,Kala/Balge,NGA008015,Conflict,69936,34968.0,2,15625.0,19343.0,15,2017-03-01
2017,3,1,Borno,NGA008,Konduga,NGA008016,Conflict,191598,95799.0,2,40337.0,55462.0,15,2017-03-01
2017,3,1,Borno,NGA008,Kukawa,NGA008017,Conflict,32860,16430.0,2,7466.0,8964.0,15,2017-03-01
2017,3,1,Borno,NGA008,Kwaya Kusar,NGA008018,Conflict,5400,2700.0,2,1231.0,1469.0,15,2017-03-01
2017,3,1,Borno,NGA008,Mafa,NGA008019,Conflict,21624,10812.0,2,5553.0,5259.0,15,2017-03-01
2017,3,1,Borno,NGA008,Magumeri,NGA008020,Conflict,28034,14017.0,2,6630.0,7387.0,15,2017-03-01
2017,3,1,Borno,NGA008,Maiduguri,NGA008021,Conflict,791694,395847.0,2,168366.0,227481.0,15,2017-03-01
2017,3,1,Borno,NGA008,Mobbar,NGA008023,Conflict,12200,6100.0,2,2732.0,3368.0,15,2017-03-01
2017,3,1,Borno,NGA008,Monguno,NGA008024,Conflict,243028,121514.0,2,53474.0,68040.0,15,2017-03-01
2017,3,1,Borno,NGA008,Ngala,NGA008025,Conflict,65230,32615.0,2,14609.0,18006.0,15,2017-03-01
2017,3,1,Borno,NGA008,Nganzai,NGA008026,Conflict,37934,18967.0,2,8360.0,10607.0,15,2017-03-01
2017,3,1,Borno,NGA008,Shani,NGA008027,Conflict,1656,828.0,2,415.0,413.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Akko,NGA016001,Conflict,12784,6392.0,2,3231.0,3161.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Balanga,NGA016002,Conflict,3700,1850.0,2,884.0,966.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Billiri,NGA016003,Conflict,820,410.0,2,171.0,239.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Dukku,NGA016004,Conflict,1361,680.5,2,387.0,359.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Funakaye,NGA016005,Conflict,6733,3366.5,2,1745.0,1823.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Gombe,NGA016006,Conflict,12208,6104.0,2,3098.0,3040.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Kaltungo,NGA016007,Conflict,1840,920.0,2,476.0,444.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Kwami,NGA016008,Conflict,2362,1181.0,2,588.0,593.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Nafada,NGA016009,Conflict,3480,1740.0,2,891.0,849.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Shomgom,NGA016010,Conflict,578,289.0,2,144.0,145.0,15,2017-03-01
2017,3,1,Gombe,NGA016,Yamaltu/Deba,NGA016011,Conflict,5658,2829.0,2,1337.0,1492.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Ardo-Kola,NGA035001,Conflict,10654,5327.0,2,2396.0,2931.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Bali,NGA035002,Conflict,4924,2462.0,2,1159.0,1303.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Donga,NGA035003,Conflict,4798,2399.0,2,1046.0,1353.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Gashaka,NGA035004,Conflict,1202,601.0,2,289.0,312.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Gassol,NGA035005,Conflict,13658,6829.0,2,3270.0,3559.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Ibi,NGA035006,Conflict,8358,4179.0,2,1929.0,2250.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Jalingo,NGA035007,Conflict,21572,10786.0,2,4586.0,6200.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Karim-Lamido,NGA035008,Conflict,518,259.0,2,128.0,131.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Kurmi,NGA035009,Conflict,652,326.0,2,140.0,186.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Lau,NGA035010,Conflict,10207,5103.5,2,2148.0,3015.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Sardauna,NGA035011,Conflict,954,477.0,2,231.0,246.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Takum,NGA035012,Conflict,354,177.0,2,77.0,100.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Ussa,NGA035013,Conflict,374,187.0,2,90.0,97.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Wukari,NGA035014,Conflict,29908,14954.0,2,7085.0,7869.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Yorro,NGA035015,Conflict,6692,3346.0,2,1407.0,1939.0,15,2017-03-01
2017,3,1,Taraba,NGA035,Zing,NGA035016,Conflict,860,430.0,2,206.0,224.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Bade,NGA036001,Conflict,23490,11745.0,2,4800.0,6945.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Bursari,NGA036002,Conflict,2118,1059.0,2,422.0,637.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Damaturu,NGA036003,Conflict,43744,21872.0,2,10373.0,11499.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Fika,NGA036004,Conflict,10072,5036.0,2,2161.0,2875.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Fune,NGA036005,Conflict,8690,4345.0,2,1958.0,2387.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Geidam,NGA036006,Conflict,14121,7060.5,2,2180.0,4078.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Gujba,NGA036007,Conflict,41728,20864.0,2,8523.0,12341.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Gulani,NGA036008,Conflict,6081,3040.5,2,1294.0,1974.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Jakusko,NGA036009,Conflict,2836,1418.0,2,593.0,825.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Karasuwa,NGA036010,Conflict,11714,5857.0,2,2531.0,3326.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Machina,NGA036011,Conflict,2598,1299.0,2,608.0,691.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Nangere,NGA036012,Conflict,4020,2010.0,2,966.0,1044.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Nguru,NGA036013,Conflict,21295,10647.5,2,4769.0,6681.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Potiskum,NGA036014,Conflict,32132,16066.0,2,8020.0,8046.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Tarmua,NGA036015,Conflict,960,480.0,2,221.0,259.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Yunusari,NGA036016,Conflict,4964,2482.0,2,1024.0,1458.0,15,2017-03-01
2017,3,1,Yobe,NGA036,Yusufari,NGA036017,Conflict,2220,1110.0,2,499.0,611.0,15,2017-03-01
2017,4,2,Adamawa,NGA002,Demsa,NGA002001,Conflict,8448,4224.0,2,2252.0,1972.0,16,2017-04-01
2017,4,2,Adamawa,NGA002,Fufore,NGA002002,Conflict,10908,5454.0,2,2898.0,2556.0,16,2017-04-01
2017,4,2,Adamawa,NGA002,Ganye,NGA002003,Conflict,900,450.0,2,231.0,219.0,16,2017-04-01
2017,4,2,Adamawa,NGA002,Girei,NGA002005,Conflict,19847,9923.5,2,1008.0,1288.0,16,2017-04-01
2017,4,2,Adamawa,NGA002,Gombi,NGA002004,Conflict,19847,9923.5,2,8058.0,9493.0,16,2017-04-01
2017,4,2,Adamawa,NGA002,Guyuk,NGA002006,Conflict,502,251.0,2,110.0,141.0,16,2017-04-01
2017,4,2,Adamawa,NGA002,Hong,NGA002007,Conflict,7318,3659.0,2,1506.0,2153.0,16,2017-04-01
2017,4,2,Adamawa,NGA002,Jada,NGA002008,Conflict,1092,546.0,2,231.0,315.0,16,2017-04-01
